料理の種類,料理名,エネルギー[キロカロリー],たんぱく質[グラム],脂質[グラム],炭水化物[グラム],食塩相当量[グラム],野菜量[グラム],材料1＿材料名,材料1＿重量[グラム],材料2＿材料名,材料2＿重量[グラム],材料3＿材料名,材料3＿重量[グラム],材料4＿材料名,材料4＿重量[グラム],材料5＿材料名,材料5＿重量[グラム],材料6＿材料名,材料6＿重量[グラム],材料7＿材料名,材料7＿重量[グラム],材料8＿材料名,材料8＿重量[グラム],材料9＿材料名,材料9＿重量[グラム],材料10＿材料名,材料10＿重量[グラム],材料11＿材料名,材料11＿重量[グラム],材料12＿材料名,材料12＿重量[グラム],材料13＿材料名,材料13＿重量[グラム],材料14＿材料名,材料14＿重量[グラム],材料15＿材料名,材料15＿重量[グラム],材料16＿材料名,材料16＿重量[グラム],材料17＿材料名,材料17＿重量[グラム],材料18＿材料名,材料18＿重量[グラム],材料19＿材料名,材料19＿重量[グラム],材料20＿材料名,材料20＿重量[グラム],,
調味料,マヨネーズ（ステック1本）,84,0.2,9.0,0.5,0.2,0.0,マヨネーズ・全卵型,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,和風ドレッシング（大さじ1）,12,0.5,0.0,2.4,1.1,0.0,ドレッシングタイプ和風調味料,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,フレンチドレッシング（大さじ1）,69,0.0,7.1,1.0,0.5,0.0,フレンチドレッシング,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,サウザンアイランドドレッシング（大さじ1）,71,0.2,7.0,1.6,0.6,0.0,サウザンアイランドドレッシング,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,はちみつ（小さじ1）,21,0.0,0.0,5.6,0.0,0.0,はちみつ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,いちごジャム（大さじ1）,54,0.1,0.0,13.3,0.0,0.0,いちご・ジャム・高糖度,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,マーマレード（大さじ1）,54,0.0,0.0,13.3,0.0,0.0,オレンジ・マーマレード・高糖度,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,ブルーベリージャム（大さじ1）,38,0.1,0.1,9.2,0.0,0.0,ブルーベリー・ジャム,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,ごま（小さじ1）,18,0.6,1.6,0.6,0.0,0.0,ごま＿いり,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調味料,バター（小さじ1）,30,0.0,3.2,0.0,0.1,0.0,有塩バター,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
